method_id,local,global,kmeans,louvain,spectral,runtime_score,memory_score,stability_median,overall_mean,source,method_raw,parent_method,score_domain,score
TriMap,0.6032353265399039,0.6994661169262986,0.6135668201808979,0.5206517457613115,0.6070360566757272,0.998206875584548,0.9765433241464891,0.8237615995564432,0.7303084831714524,score_matrix,,,,
t-SNE,0.5814595153513493,0.5970260528389916,0.6069200273836196,0.5390343100771523,0.6274086146383676,0.9929750473195488,0.9911861838309288,0.7848551977001316,0.7151081186425112,score_matrix,,,,
PHATE,0.5686017316082013,0.6554083269367512,0.6026995685005394,0.4922520682469142,0.5773967551996035,0.9931611324102574,0.9808039705501868,0.7749988779566965,0.7056653039261438,score_matrix,,,,
scGBM,0.5416193573455529,0.6719312442573321,0.619152124305037,0.5112216359155829,0.6098358274773855,0.9880037803139912,0.954582357660856,0.629440459246491,0.6907233483152786,score_matrix,,,,
SPDR,0.6091308881853755,0.6376890721367113,0.6051493963156584,0.5092824021856938,0.5900624458157059,0.8109677130866199,0.9385200189987768,0.8189764504787866,0.689972298400416,score_matrix,,,,
UMAP,0.5957865069885228,0.6314566903197647,0.5787030536884906,0.4999207162134989,0.582214695749356,0.9936113792499618,0.9061862458457284,0.7114589363686984,0.6874172780530027,score_matrix,,,,
GLMPCA,0.531259778612163,0.651949832821111,0.6089174964733217,0.4950788781599343,0.5962206489334149,0.9842930200372316,0.9746071524888532,0.6186487496708308,0.6826219446496076,score_matrix,,,,
PCA,0.5074567132662589,0.7027580770175762,0.5496896108206788,0.4621337140884416,0.5230260262818601,0.9998583033883603,0.991381117444644,0.6483941740179835,0.6730872170407254,score_matrix,,,,
IVIS,0.522776027319176,0.6203183422116902,0.5485191477885653,0.4732902158297239,0.5624134811145792,0.993505958886628,0.9295381970455028,0.4502708049824035,0.6375790218972837,score_matrix,,,,
SQuaD-MDS,0.5398925997396424,0.7864235049042944,0.4533303667745416,0.4244903549381937,0.4645303627141308,0.9800019541209342,0.976455675889568,0.4605976736673461,0.6357153115935814,score_matrix,,,,
ZIFA,0.4890121894158761,0.6401720975632493,0.5488192473653639,0.4688295402538032,0.5416161647270089,0.7659980816521857,0.933574476757142,0.6658250217671839,0.6317308524377265,score_matrix,,,,
VAE,0.4674015254786871,0.5055493950178311,0.4604032134262717,0.4152707773285628,0.4736836636253245,0.9475200089450316,0.927733438273756,0.7556558274408287,0.6191522311920367,score_matrix,,,,
Parametric UMAP 200,0.5951516502507292,0.6447870416650552,0.5900427765330678,0.5010743542263446,0.5841753714840537,,,0.7555478074958912,0.6117965002758569,score_matrix,,,,
Parametric UMAP 50,0.5905102957431956,0.653867130313502,0.5894005891627251,0.4953740210421593,0.5837290097799707,,,0.7469879941883032,0.6099781733716426,score_matrix,,,,
SQuaD-MDS hybrid,0.6051404684878344,0.7028448367836448,0.5347434549000083,0.4827589405339254,0.5467643959347803,,,0.7068702956246898,0.5965203987108137,score_matrix,,,,
VASC,0.5075645495937986,0.6367106437112424,0.5964052983154925,0.4803515729959036,0.5560627043271175,0.4060811215200675,0.955671222448901,,0.5912638732732175,score_matrix,,,,
SCDRHA,0.5319997323408233,0.6910066925480315,0.5188718778524604,0.4581103639138628,0.4925694614430029,0.9045752832262788,0.5062892498654088,0.5808443621510366,0.5855333779176131,score_matrix,,,,
SIMLR,0.5701726284325269,0.5683413368040419,0.6118213617765522,0.5345937007100237,0.5765694781903007,0.6622925247969618,0.3675259205837353,0.7839826480835557,0.5844124499222123,score_matrix,,,,
scvis,0.6070852578513585,0.7353173891085545,0.5839409281387437,0.4908234852803262,0.583473067261674,0.3613162400126833,0.97381780319574,0.1666444455347927,0.562802327047984,score_matrix,,,,
scGAE,0.5220747406710486,0.5828678666177501,0.4827543461123558,0.4772822399417915,0.506410405508724,0.9170793208350828,0.666807275551742,0.2501117492795352,0.5506734930647538,score_matrix,,,,
DREAM,0.4449436645114304,0.578288297939532,0.4625721309434902,0.4097234622564074,0.4680473162542483,0.8934219566326963,0.7942985167755877,0.3159615557998821,0.5459071126391593,score_matrix,,,,
tGPLVM,0.3639310616077475,0.5475500834406869,0.3393132312671147,0.2963606005888994,0.3309422329875315,0.910890886012984,0.9362192146354886,0.6324226350305697,0.5447037431963777,score_matrix,,,,
EDGE,0.4892786262126192,0.5180693200922843,0.4864847730478798,0.4551393288661315,0.4828766031751619,0.8648948226156898,0.3983277516129182,0.6340310914466445,0.5411377896336661,score_matrix,,,,
scScope,0.4413166888137593,0.5575111000224625,0.3655855426935524,0.3417279068528242,0.3788985131838598,0.9521141154368372,0.9133535688601334,0.3193103534510967,0.5337272236643157,score_matrix,,,,
SAUCIE,0.4427373038422977,0.6174676289710875,0.3560838415899095,0.3338509220477925,0.365687803452045,0.9992380469391016,0.9757891099014836,0.1208845555915354,0.5264674015419066,score_matrix,,,,
PaCMAP,0.2954157800739314,0.3666837378551715,0.3068713903410505,0.2865888370401018,0.29829435486093,0.9961603460946472,0.9771872503316348,0.1442852232794601,0.4589358649846159,score_matrix,,,,
pCMF,0.3867313701561368,0.5452973488708297,0.3176635045736471,0.3064718084454326,0.3241400930619523,0.5026042069385395,0.9730604455276654,0.1325848821346411,0.4360692074636055,score_matrix,,,,
SSNMDI,0.2755219951340961,0.3241994824966703,0.266730758858186,0.2717893108939476,0.2427437391087013,0.7210609722103707,0.7402755539306447,0.1157900611119457,0.3697639842180703,score_matrix,,,,
DRA,0.2032679503681033,0.3012807288211149,0.1628000892042154,0.1481927539176749,0.1630912245308264,0.8267488989935681,0.9598833770821812,0.1268352225840869,0.3615125306877214,score_matrix,,,,
DRA,,,,,,,,,,score_long,DRA,DRA,local,0.2032679503681033
DREAM,,,,,,,,,,score_long,DREAM,DREAM,local,0.4449436645114304
EDGE,,,,,,,,,,score_long,EDGE,EDGE,local,0.4892786262126192
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,local,0.531259778612163
PCA,,,,,,,,,,score_long,PCA,PCA,local,0.5074567132662589
PHATE,,,,,,,,,,score_long,PHATE,PHATE,local,0.5686017316082013
PaCMAP,,,,,,,,,,score_long,PaCMAP,PaCMAP,local,0.2954157800739314
Parametric UMAP 200,,,,,,,,,,score_long,ParametricUMAP200,UMAP,local,0.5951516502507292
Parametric UMAP 50,,,,,,,,,,score_long,ParametricUMAP50,UMAP,local,0.5905102957431956
SAUCIE,,,,,,,,,,score_long,SAUCIE,SAUCIE,local,0.4427373038422977
SCDRHA,,,,,,,,,,score_long,SCDRHA,SCDRHA,local,0.5319997323408233
SIMLR,,,,,,,,,,score_long,SIMLR,SIMLR,local,0.5701726284325269
SPDR,,,,,,,,,,score_long,SPDR,SPDR,local,0.6091308881853755
SQuaD-MDS,,,,,,,,,,score_long,SQuaD_MDS,SQuaD-MDS,local,0.5398925997396424
SQuaD-MDS hybrid,,,,,,,,,,score_long,SQuaD_MDS_hybrid,SQuaD-MDS,local,0.6051404684878344
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,local,0.2755219951340961
t-SNE,,,,,,,,,,score_long,TSNE,t-SNE,local,0.5814595153513493
TriMap,,,,,,,,,,score_long,TriMap,TriMap,local,0.6032353265399039
UMAP,,,,,,,,,,score_long,UMAP,UMAP,local,0.5957865069885228
VAE,,,,,,,,,,score_long,VAE,VAE,local,0.4674015254786871
VASC,,,,,,,,,,score_long,VASC,VASC,local,0.5075645495937986
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,local,0.4890121894158761
IVIS,,,,,,,,,,score_long,ivis,IVIS,local,0.522776027319176
pCMF,,,,,,,,,,score_long,pCMF,pCMF,local,0.3867313701561368
scGAE,,,,,,,,,,score_long,scGAE,scGAE,local,0.5220747406710486
scGBM,,,,,,,,,,score_long,scGBM,scGBM,local,0.5416193573455529
scScope,,,,,,,,,,score_long,scScope,scScope,local,0.4413166888137593
scvis,,,,,,,,,,score_long,scvis,scvis,local,0.6070852578513585
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,local,0.3639310616077475
